time,open,high,low,close,Volume,Volume MA,Up Trend,UpTrend Begins,Buy,Down Trend,DownTrend Begins,Sell,,WMA,%K,%D
2014-01-17T10:00:00+02:00,6815.4199,6840.5,6800,6829.2998,NaN,NaN,6668.855673559316,NaN,NaN,NaN,NaN,NaN,6821.304925,6670.232082039216,93.75304568476443,89.15173118700265
2014-01-20T10:00:00+02:00,6829.2998,6837.5298,6810.6201,6836.73,NaN,NaN,6679.747146203384,NaN,NaN,NaN,NaN,NaN,6828.544925,6677.263430509804,94.60963443293525,89.66713934721503
2014-01-21T10:00:00+02:00,6836.73,6867.4199,6822.3101,6834.2598,NaN,NaN,6701.4370365830455,NaN,NaN,NaN,NaN,NaN,6840.17995,6684.123367137255,91.77740918309112,89.76213968468895
2014-01-22T10:00:00+02:00,6834.2598,6864.8701,6821.7998,6826.3301,NaN,NaN,6701.4370365830455,NaN,NaN,NaN,NaN,NaN,6836.81495,6690.564853098039,88.10687506825468,89.70740123959247
2014-01-23T10:00:00+02:00,6826.3301,6837.21,6760.6299,6773.2798,NaN,NaN,6701.4370365830455,NaN,NaN,NaN,NaN,NaN,6799.36245,6694.8334565490195,80.23916525215955,89.12262957033437
2014-01-24T10:00:00+02:00,6773.2798,6784.4199,6654.8599,6663.7402,NaN,NaN,NaN,NaN,NaN,6894.20959523096,6894.20959523096,6894.20959523096,6719.07495,6694.771166117647,62.464412320172336,86.75812751200849
2014-01-27T10:00:00+02:00,6663.7402,6665.3901,6539.3301,6550.6602,NaN,NaN,NaN,NaN,NaN,6797.290825707863,NaN,NaN,6604.7801500000005,6690.3238167058835,43.622854227850446,82.42406149764713
2014-01-28T10:00:00+02:00,6550.6602,6590.6602,6550.6499,6572.3301,NaN,NaN,NaN,NaN,NaN,6758.095793137078,NaN,NaN,6566.0751,6686.788494588234,29.16010970667809,76.63552026337989
2014-01-29T10:00:00+02:00,6572.3301,6645.23,6482.7402,6544.2798,NaN,NaN,NaN,NaN,NaN,6758.095793137078,NaN,NaN,6561.145025,6682.226729176471,16.728337692466898,69.34452169184803
2014-01-30T10:00:00+02:00,6544.2798,6573.9199,6503.25,6538.4502,NaN,NaN,NaN,NaN,NaN,6755.485167941033,NaN,NaN,6539.974975,6677.553340313725,9.633831889710972,61.009567545808395
2014-01-31T10:00:00+02:00,6538.4502,6548.46,6421.2598,6510.4399,NaN,NaN,NaN,NaN,NaN,6718.2301561469285,NaN,NaN,6504.652475,6671.926614039215,12.795947454864509,52.913857722818406
2014-02-03T10:00:00+02:00,6510.4399,6538.2998,6459.9502,6465.6602,NaN,NaN,NaN,NaN,NaN,6718.2301561469285,NaN,NaN,6493.587525000001,6664.690934745098,14.095611650534783,44.862455444578366
2014-02-04T10:00:00+02:00,6465.6602,6478.1602,6416.7202,6449.27,NaN,NaN,NaN,NaN,NaN,6676.056499479013,NaN,NaN,6452.45265,6656.981459294117,13.528379155359326,37.03755244180519
2014-02-05T10:00:00+02:00,6449.27,6483.73,6423.79,6457.8901,NaN,NaN,NaN,NaN,NaN,6676.056499479013,NaN,NaN,6453.670025,6649.792034901962,12.155787635837651,29.442443698563483
